time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-12T18:08:45.750Z,19.4055004,-155.2624969,0.29,2.7,md,26,62,0.007003,0.17,hv,hv70413102,2018-07-12T18:11:49.840Z,"3km SW of Volcano, Hawaii",earthquake,0.16,0.16,0.27,15,automatic,hv,hv
2018-07-12T18:08:01.580Z,34.0093333,-117.5815,2.45,0.87,ml,27,85,0.1073,0.19,ci,ci38219928,2018-07-12T18:11:45.545Z,"6km WNW of Mira Loma, CA",earthquake,0.33,0.71,0.154,19,automatic,ci,ci
2018-07-12T18:07:13.021Z,57.3951,-138.007,0,3.9,ml,,,,0.64,ak,ak19859671,2018-07-12T18:11:13.352Z,"166km WNW of Sitka, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-07-12T18:04:47.440Z,19.3946667,-155.2611694,-0.15,3.62,ml,26,54,0.005807,0.28,hv,hv70413092,2018-07-12T18:10:30.130Z,"4km SSW of Volcano, Hawaii",earthquake,0.24,0.24,0.44,14,automatic,hv,hv
2018-07-12T18:03:52.180Z,19.4048328,-155.2868347,0.11,3.53,ml,38,29,0.01256,0.33,hv,hv70413087,2018-07-12T18:09:32.940Z,"5km WSW of Volcano, Hawaii",earthquake,0.23,0.23,2.14,20,automatic,hv,hv
2018-07-12T18:03:14.440Z,37.6716652,-118.9018326,7.42,0.52,md,9,126,0.01705,0.08,nc,nc73043991,2018-07-12T18:04:49.668Z,"8km ENE of Mammoth Lakes, CA",earthquake,1.52,2.58,0.09,7,automatic,nc,nc
2018-07-12T18:01:58.590Z,19.4101658,-155.2828369,0.61,3.74,ml,57,21,0.007551,0.24,hv,hv70413082,2018-07-12T18:07:42.990Z,"5km WSW of Volcano, Hawaii",earthquake,0.23,0.13,3.74,37,automatic,hv,hv
2018-07-12T18:00:33.090Z,19.3986664,-155.2898407,-0.35,2.98,ml,42,38,0.009468,0.22,hv,hv70413077,2018-07-12T18:06:13.590Z,"6km WSW of Volcano, Hawaii",earthquake,0.15,0.21,2.76,33,automatic,hv,hv
2018-07-12T17:56:26.530Z,19.3980007,-155.2718353,1.58,2.68,ml,35,49,0.003126,0.19,hv,hv70413072,2018-07-12T18:02:08.000Z,"5km SW of Volcano, Hawaii",earthquake,0.25,0.19,2.46,28,automatic,hv,hv
2018-07-12T17:56:06.380Z,19.3973331,-155.2736664,1.09,2.63,ml,30,42,0.001955,0.15,hv,hv70413067,2018-07-12T18:01:46.320Z,"5km SW of Volcano, Hawaii",earthquake,0.28,0.2,2.52,29,automatic,hv,hv
2018-07-12T17:54:00.270Z,19.3976669,-155.2696686,0.33,2.78,ml,23,97,0.004394,0.2,hv,hv70413062,2018-07-12T17:59:50.790Z,"4km SW of Volcano, Hawaii",earthquake,0.2,0.27,0.34,8,automatic,hv,hv
2018-07-12T17:53:48.260Z,19.4008331,-155.2623291,0.58,2.51,ml,28,59,0.004343,0.2,hv,hv70413057,2018-07-12T17:59:30.000Z,"4km SW of Volcano, Hawaii",earthquake,0.2,0.26,2.01,18,automatic,hv,hv
